Filename,heightWithWidth,squarePercent,Hsyn,Wsyn,syn,matchVar,blurNumber,isClear
331_#Test_$_&INN_@30_PHONE_TYPE_1325376305170_2592x1944.bmp,5.545454545,0.39516129,0.729508197,0.772727273,1.502235469,379.6428571,186,-1
#Test_L_&INN_@30_PHONE_TYPE_1325376303859_2592x1944.bmp,4.909090909,0.451515152,0.813973064,0.772727273,1.586700337,314.4571429,72,-1
323_#Test_$_&INN_@30_PHONE_TYPE_1325376303859_2592x1944.bmp,4.909090909,0.451515152,0.813973064,0.772727273,1.586700337,314.4571429,72,-1
#Test_L_&INN_@30_PHONE_TYPE_1325376305836_2592x1944.bmp,7,0.8325,0.306122449,0.142857143,0.448979592,278.9833333,26,-1
334_#Test_$_&INN_@30_PHONE_TYPE_1325376305836_2592x1944.bmp,7,0.8325,0.306122449,0.142857143,0.448979592,278.9833333,26,-1
#Test_R_&INN_@30_PHONE_TYPE_1325376303859_2592x1944.bmp,9.8,0.83,0.105965463,0.2,0.305965463,264.6694915,101,-1
324_#Test_$_&INN_@30_PHONE_TYPE_1325376303859_2592x1944.bmp,9.8,0.83,0.105965463,0.2,0.305965463,264.6694915,101,-1
#Test_R_&INN_@30_PHONE_TYPE_1325376308379_2592x1944.bmp,5.111111111,0.789361702,0.239130435,0.222222222,0.461352657,253.0423729,97,-1
345_#Test_$_&INN_@30_PHONE_TYPE_1325376308379_2592x1944.bmp,5.111111111,0.789361702,0.239130435,0.222222222,0.461352657,253.0423729,97,-1
#hulianquan_L_&INN_@42_PHONE_TYPE_1325398134429_2592x1944.bmp,1.379310345,0.550406504,0.405,0.24137931,0.64637931,245.2682927,-1,1
#Test_R_&INN_@30_PHONE_TYPE_1325376305836_2592x1944.bmp,5.75,0.479905437,0.793478261,0.625,1.418478261,228.8034188,133,-1
335_#Test_$_&INN_@30_PHONE_TYPE_1325376305836_2592x1944.bmp,5.75,0.479905437,0.793478261,0.625,1.418478261,228.8034188,,-1
#hulianquan_L_&INN_@42_PHONE_TYPE_1325398134640_2592x1944.bmp,1.576923077,0.594356261,0.420177384,0.230769231,0.650946614,223.6746032,,1
#Test_L_&INN_@30_PHONE_TYPE_1325376307793_2592x1944.bmp,3.5,0.610017889,0.64047619,0.541666667,1.182142857,220.5169492,,-1
